paper_id,title,summary,authors,authors_joined,categories,categories_joined,primary_category,published,updated,abs_url,pdf_url,age_days,summary_chars,text_for_embedding
10.51153/mf.v20.i2.709,A Moderating and mediating model of innovation performance,"Pioneer performances depend on entrepreneurial orientation for their success. This approach is crucial for converting green intellectual capital into actionable, practical innovations. Therefore, clever management techniques can accelerate and improve overall growth. Before incorporating green intellectual capital into organisational structures, managers should carefully consider its potential. The current study is based on a quantitative method, in which data were gathered from middle managers working at the Defense Housing Authority, one of the renowned construction firms in Karachi. The data were analyzed using PLS-SEM (Partial Least Squares Structural Equation Modeling). The results of the research showed that there is a significant positive relationship between green intellectual capital and entrepreneurial orientation, and between green intellectual capital and the financial and non-financial aspects of innovation performance. It also highlighted the significant role of knowledge management as a moderator between entrepreneurial orientation and innovative performance, whereas, in contrast, green self-efficacy had no moderating effect on the relationship between green intellectual capital and EO. These results have implications for management, as they can help identify specific areas of their industry that require improvement before committing significant financial resources to green intellectual capital. Furthermore, this understanding helps assess a company's readiness to apply these innovations successfully.","['Saira Naz', 'Fatima Liaquat']","Saira Naz, Fatima Liaquat",[],,uncategorized,2026-12-31,2026-05-05,https://doi.org/10.51153/mf.v20.i2.709,https://marketforcesjournal.kiet.edu.pk/index.php/marketforces/article/download/709/456,0,1541,"Title: A Moderating and mediating model of innovation performance
Authors: Saira Naz, Fatima Liaquat
Published: 2026-12-31
Categories: nan
Summary: Pioneer performances depend on entrepreneurial orientation for their success. This approach is crucial for converting green intellectual capital into actionable, practical innovations. Therefore, clever management techniques can accelerate and improve overall growth. Before incorporating green intellectual capital into organisational structures, managers should carefully consider its potential. The current study is based on a quantitative method, in which data were gathered from middle managers working at the Defense Housing Authority, one of the renowned construction firms in Karachi. The data were analyzed using PLS-SEM (Partial Least Squares Structural Equation Modeling). The results of the research showed that there is a significant positive relationship between green intellectual capital and entrepreneurial orientation, and between green intellectual capital and the financial and non-financial aspects of innovation performance. It also highlighted the significant role of knowledge management as a moderator between entrepreneurial orientation and innovative performance, whereas, in contrast, green self-efficacy had no moderating effect on the relationship between green intellectual capital and EO. These results have implications for management, as they can help identify specific areas of their industry that require improvement before committing significant financial resources to green intellectual capital. Furthermore, this understanding helps assess a company's readiness to apply these innovations successfully."
10.5559/di.di.34.4.01,How do Ethical Leaders Promote Employees' Feedback-Seeking Behaviours? A Serial Mediation Model,"This study explores how ethical leadership fosters employees' feedback-seeking behaviours. Drawing on Self-Determination Theory, the research identifies intrinsic motivation and affective commitment as key mediators through which ethical leaders encourage proactive feedback-seeking. The findings reveal that ethical leadership positively influences employees' intrinsic motivation and affective commitment to the organisation, which in turn enhances their tendency to feedback – an essential behaviour in dynamic and quality-sensitive work environments such as manufacturing. To empirically test this model, a crosssectional survey was conducted among 422 employees at a large manufacturing plant in Manisa, Türkiye. The results support a serial mediation model, confirming that ethical leadership indirectly promotes feedback-seeking behaviours through increased intrinsic motivation and affective commitment.","['Wasim Ul Rehman', 'Mustafa Bekmezci', 'Lütfi Sürücü', 'Kamran Ali', 'Anam Mustansar']","Wasim Ul Rehman, Mustafa Bekmezci, Lütfi Sürücü, Kamran Ali, Anam Mustansar",[],,uncategorized,2026-12-31,2026-02-28,https://doi.org/10.5559/di.di.34.4.01,,0,911,"Title: How do Ethical Leaders Promote Employees' Feedback-Seeking Behaviours? A Serial Mediation Model
Authors: Wasim Ul Rehman, Mustafa Bekmezci, Lütfi Sürücü, Kamran Ali, Anam Mustansar
Published: 2026-12-31
Categories: nan
Summary: This study explores how ethical leadership fosters employees' feedback-seeking behaviours. Drawing on Self-Determination Theory, the research identifies intrinsic motivation and affective commitment as key mediators through which ethical leaders encourage proactive feedback-seeking. The findings reveal that ethical leadership positively influences employees' intrinsic motivation and affective commitment to the organisation, which in turn enhances their tendency to feedback – an essential behaviour in dynamic and quality-sensitive work environments such as manufacturing. To empirically test this model, a crosssectional survey was conducted among 422 employees at a large manufacturing plant in Manisa, Türkiye. The results support a serial mediation model, confirming that ethical leadership indirectly promotes feedback-seeking behaviours through increased intrinsic motivation and affective commitment."
10.33425/3066-1226.1195,AI-Based Performance Analysis of Renewable Energy Systems for Sustainable Power Generation,"The growing demand for clean and reliable energy has accelerated the adoption of renewable energysystems such as solar photovoltaic and wind power technologies. However, the inherent variabilityof renewable resources poses significant challenges in performance prediction, system optimization,and reliable power generation. This study presents an artificial intelligence–based framework forperformance analysis of renewable energy systems aimed at supporting sustainable power generation.Operational and environmental data are utilized to develop machine learning models capable ofcapturing complex, nonlinear relationships between system inputs and energy output. The AI-basedapproach is evaluated against conventional analytical methods using performance indicators suchas power output, efficiency, prediction accuracy, and response time. The results demonstrate that AI-driven models significantly improve prediction accuracy, reduce analysis time, and enhance systemperformance assessment under varying operating conditions. The findings highlight the potential ofartificial intelligence to improve operational efficiency, support intelligent energy management, andstrengthen the integration of renewable energy systems into sustainable power networks.","['Vidhya G', 'Suchithra, M', 'Santhosh G', 'Anupama M']","Vidhya G, Suchithra, M, Santhosh G, Anupama M",[],,uncategorized,2026-12-30,2026-03-02,https://doi.org/10.33425/3066-1226.1195,,0,1256,"Title: AI-Based Performance Analysis of Renewable Energy Systems for Sustainable Power Generation
Authors: Vidhya G, Suchithra, M, Santhosh G, Anupama M
Published: 2026-12-30
Categories: nan
Summary: The growing demand for clean and reliable energy has accelerated the adoption of renewable energysystems such as solar photovoltaic and wind power technologies. However, the inherent variabilityof renewable resources poses significant challenges in performance prediction, system optimization,and reliable power generation. This study presents an artificial intelligence–based framework forperformance analysis of renewable energy systems aimed at supporting sustainable power generation.Operational and environmental data are utilized to develop machine learning models capable ofcapturing complex, nonlinear relationships between system inputs and energy output. The AI-basedapproach is evaluated against conventional analytical methods using performance indicators suchas power output, efficiency, prediction accuracy, and response time. The results demonstrate that AI-driven models significantly improve prediction accuracy, reduce analysis time, and enhance systemperformance assessment under varying operating conditions. The findings highlight the potential ofartificial intelligence to improve operational efficiency, support intelligent energy management, andstrengthen the integration of renewable energy systems into sustainable power networks."
10.35429/ejm.2026.17.35.1.1.10,Digital marketing factors influencing Generation Z’s purchase intention in the restaurant sector: a systematic review,"This article addresses the need to understand how digital marketing influences the purchasing intentions of Generation Z, a key demographic for the restaurant industry due to its strong digital presence. While studies on digital marketing exist, few focus specifically on this generation within the restaurant sector. Therefore, the objective is to identify the digital marketing factors that impact their purchasing intentions in this specific sector. The research is based on a systematic literature review following the PRISMA methodology, using the Web of Science, Scopus, and Google databases. From the thematic analysis, three influential factors were identified: electronic Word of Mouth [eWOM], Social Media Marketing [SMM], and Social Media Influencers [SMI]. The results provide clarity on this topic within the academic field and offer recommendations for restaurants to connect with this segment.","['Iris Leandra Alfonso-Sanjul', 'Elizabeth Acosta-Gonzaga']","Iris Leandra Alfonso-Sanjul, Elizabeth Acosta-Gonzaga",[],,uncategorized,2026-12-30,2026-03-30,https://doi.org/10.35429/ejm.2026.17.35.1.1.10,,0,908,"Title: Digital marketing factors influencing Generation Z’s purchase intention in the restaurant sector: a systematic review
Authors: Iris Leandra Alfonso-Sanjul, Elizabeth Acosta-Gonzaga
Published: 2026-12-30
Categories: nan
Summary: This article addresses the need to understand how digital marketing influences the purchasing intentions of Generation Z, a key demographic for the restaurant industry due to its strong digital presence. While studies on digital marketing exist, few focus specifically on this generation within the restaurant sector. Therefore, the objective is to identify the digital marketing factors that impact their purchasing intentions in this specific sector. The research is based on a systematic literature review following the PRISMA methodology, using the Web of Science, Scopus, and Google databases. From the thematic analysis, three influential factors were identified: electronic Word of Mouth [eWOM], Social Media Marketing [SMM], and Social Media Influencers [SMI]. The results provide clarity on this topic within the academic field and offer recommendations for restaurants to connect with this segment."
10.35429/jet.2026.10.21.3.1.6,Model of teaching strategies for the transition from competency-based education to a humanistic educational model for social justice at TecNM,"This study aimed to design, implement, and validate a teaching strategies model to support the transition from competency-based education to a humanistic educational model focused on social justice at TecNM. A qualitative participatory action research methodology was implemented. Results reveal positive teacher disposition toward change, improved student participation, and the integration of ethical and social dimensions into classroom practices. However, challenges related to time constraints and the need for systematic teacher training were identified. The study concludes that the transition toward a humanistic paradigm requires structured pedagogical support and institutional alignment.","['Adrián Pérez-Vázquez', 'Laura Vidal-Reyes', 'María de Lourdes Torres-Madrid', 'Yaitla Aitza Reyes-Osorio']","Adrián Pérez-Vázquez, Laura Vidal-Reyes, María de Lourdes Torres-Madrid, Yaitla Aitza Reyes-Osorio",[],,uncategorized,2026-12-30,2026-06-01,https://doi.org/10.35429/jet.2026.10.21.3.1.6,,0,698,"Title: Model of teaching strategies for the transition from competency-based education to a humanistic educational model for social justice at TecNM
Authors: Adrián Pérez-Vázquez, Laura Vidal-Reyes, María de Lourdes Torres-Madrid, Yaitla Aitza Reyes-Osorio
Published: 2026-12-30
Categories: nan
Summary: This study aimed to design, implement, and validate a teaching strategies model to support the transition from competency-based education to a humanistic educational model focused on social justice at TecNM. A qualitative participatory action research methodology was implemented. Results reveal positive teacher disposition toward change, improved student participation, and the integration of ethical and social dimensions into classroom practices. However, challenges related to time constraints and the need for systematic teacher training were identified. The study concludes that the transition toward a humanistic paradigm requires structured pedagogical support and institutional alignment."
10.35429/jhrt.2026.12.27.2.1.13,Validated instrument to measure quality of work life in generation Z: A Contextualized Proposal in Tepeji del Río,"Quality of Work Life [QWL] is a key factor influencing employee well being, particularly among Generation Z, who value flexibility and work life balance. This study aimed to design and validate an ERROR instrument to assess QWL among young workers in Tepeji del Río using the Delphi methodology to ensure methodological rigor. Seven experts in human resources and occupational psychology participated in two Delphi rounds, assessing each item for relevance, clarity, representativeness, pertinence, and ambiguity. Item-level content validity indices [I-CVI] exceeded 0.78, with a scale-level average [S-CVI/Ave] of 0.98. The iterative feedback process refined linguistic and conceptual precision, resulting in a valid and reliable instrument for future quantitative research on quality of work life in local contexts.","['Paola Gizeth Jiménez-Fabian', 'Magda Gabriela Sánchez-Trujillo']","Paola Gizeth Jiménez-Fabian, Magda Gabriela Sánchez-Trujillo",[],,uncategorized,2026-12-30,2026-03-30,https://doi.org/10.35429/jhrt.2026.12.27.2.1.13,,0,811,"Title: Validated instrument to measure quality of work life in generation Z: A Contextualized Proposal in Tepeji del Río
Authors: Paola Gizeth Jiménez-Fabian, Magda Gabriela Sánchez-Trujillo
Published: 2026-12-30
Categories: nan
Summary: Quality of Work Life [QWL] is a key factor influencing employee well being, particularly among Generation Z, who value flexibility and work life balance. This study aimed to design and validate an ERROR instrument to assess QWL among young workers in Tepeji del Río using the Delphi methodology to ensure methodological rigor. Seven experts in human resources and occupational psychology participated in two Delphi rounds, assessing each item for relevance, clarity, representativeness, pertinence, and ambiguity. Item-level content validity indices [I-CVI] exceeded 0.78, with a scale-level average [S-CVI/Ave] of 0.98. The iterative feedback process refined linguistic and conceptual precision, resulting in a valid and reliable instrument for future quantitative research on quality of work life in local contexts."
10.35429/jhrt.2026.12.27.3.1.5,Analysis of lea...,,"['Karen Daheli Madrigal-Pérez', 'Leticia López-Valdivieso', 'David Antonio García-Reyes', 'Jucelly Castro-De la Cruz']","Karen Daheli Madrigal-Pérez, Leticia López-Valdivieso, David Antonio García-Reyes, Jucelly Castro-De la Cruz",[],,uncategorized,2023-12-30,2026-04-23,https://doi.org/10.35429/jhrt.2026.12.27.3.1.5,,1095,0,"Title: Analysis of lea...
Authors: Karen Daheli Madrigal-Pérez, Leticia López-Valdivieso, David Antonio García-Reyes, Jucelly Castro-De la Cruz
Published: 2023-12-30
Categories: nan
Summary:"
10.54288/yotantsipanko.v5i2.57,Modelo organizacional para la articulación entre proyección social y responsabilidad social universitaria en universidades públicas peruanas.,"El estudio analiza la pertinencia técnica y normativa deimplementar una Dirección de Responsabilidad SocialUniversitaria (DRSU) en universidades públicas peruanas, asícomo su posible articulación o fusión con la actual Dirección deProyección Social y Cultural (DPSC). A partir del SistemaNacional de Planeamiento Estratégico y los lineamientos delSistema Nacional de Modernización, se identificó unasuperposición funcional entre ambas áreas institucionales. Lainvestigación utilizó un análisis documental comparativo deestructuras orgánicas en 18 universidades públicas,complementado con la revisión de literatura relevante en losúltimos cinco años. Los resultados muestran que es viable crearuna DRSU adscrita al Vicerrectorado Académico como unidadestratégica transversal, o fusionarla con la DPSC dentro de unamacroestructura integrada denominada Dirección General deVinculación y Responsabilidad Social. El análisis de procesosevidenció duplicidades en programas de extensión, actividadesculturales y acciones de vinculación comunitaria. Asimismo, sedesarrolló un modelo organizacional estandarizado que optimizarecursos, reduce redundancias y ??? fortalece la coherenciainstitucional. Se concluye que un enfoque de gestión porprocesos favorece la articulación entre proyección social yresponsabilidad social, permitiendo una actuación universitariamás alineada al entorno social y a las exigencias de calidadeducativa.",['Saúl Morán Cusi'],Saúl Morán Cusi,[],,uncategorized,2026-12-30,2026-02-17,https://doi.org/10.54288/yotantsipanko.v5i2.57,https://revistas.uniscjsa.edu.pe/index.php/Yotantsipanko/article/download/57/72,0,1419,"Title: Modelo organizacional para la articulación entre proyección social y responsabilidad social universitaria en universidades públicas peruanas.
Authors: Saúl Morán Cusi
Published: 2026-12-30
Categories: nan
Summary: El estudio analiza la pertinencia técnica y normativa deimplementar una Dirección de Responsabilidad SocialUniversitaria (DRSU) en universidades públicas peruanas, asícomo su posible articulación o fusión con la actual Dirección deProyección Social y Cultural (DPSC). A partir del SistemaNacional de Planeamiento Estratégico y los lineamientos delSistema Nacional de Modernización, se identificó unasuperposición funcional entre ambas áreas institucionales. Lainvestigación utilizó un análisis documental comparativo deestructuras orgánicas en 18 universidades públicas,complementado con la revisión de literatura relevante en losúltimos cinco años. Los resultados muestran que es viable crearuna DRSU adscrita al Vicerrectorado Académico como unidadestratégica transversal, o fusionarla con la DPSC dentro de unamacroestructura integrada denominada Dirección General deVinculación y Responsabilidad Social. El análisis de procesosevidenció duplicidades en programas de extensión, actividadesculturales y acciones de vinculación comunitaria. Asimismo, sedesarrolló un modelo organizacional estandarizado que optimizarecursos, reduce redundancias y ??? fortalece la coherenciainstitucional. Se concluye que un enfoque de gestión porprocesos favorece la articulación entre proyección social yresponsabilidad social, permitiendo una actuación universitariamás alineada al entorno social y a las exigencias de calidadeducativa."
10.62872/sza4qm30,Increasing Awareness of the Younger Generation on Political Participation in General Elections,"General elections are the main pillars of Indonesian democracy as stipulated in Article 27 of the 1945 Constitution of the Republic of Indonesia and Law Number 7 of 2017 concerning General Elections. The younger generation, which makes up about 55% of the total electorate, has a strategic role in determining the political direction of the nation. However, the phenomenon of political apathy and white groups (golput) among the younger generation shows a low awareness of their constitutional rights and obligations. This research aims to analyze efforts to increase the political awareness of the younger generation through political education and legal socialization. The method used is counseling and mentoring activities for students of SMK Negeri 8 Information and Communication Technology Jayapura on July 25, 2025. The results of the study show that systematic and comprehensive political education is able to increase the understanding of the younger generation about the importance of participation in elections, the right to vote as citizens, as well as the dangers of politicization and irrational mobilization. In conclusion, increasing the political awareness of the younger generation requires synergy between election organizers, the government, and educational institutions to form rational, critical, and actively participating voters in the democratic process.","['Marudut Hasugian', 'Firman', 'Muhamad Sofian']","Marudut Hasugian, Firman, Muhamad Sofian",[],,uncategorized,2026-12-30,2026-04-02,https://doi.org/10.62872/sza4qm30,https://ejournal-nawalaedu.com/index.php/IJJ/article/download/2480/3423,0,1379,"Title: Increasing Awareness of the Younger Generation on Political Participation in General Elections
Authors: Marudut Hasugian, Firman, Muhamad Sofian
Published: 2026-12-30
Categories: nan
Summary: General elections are the main pillars of Indonesian democracy as stipulated in Article 27 of the 1945 Constitution of the Republic of Indonesia and Law Number 7 of 2017 concerning General Elections. The younger generation, which makes up about 55% of the total electorate, has a strategic role in determining the political direction of the nation. However, the phenomenon of political apathy and white groups (golput) among the younger generation shows a low awareness of their constitutional rights and obligations. This research aims to analyze efforts to increase the political awareness of the younger generation through political education and legal socialization. The method used is counseling and mentoring activities for students of SMK Negeri 8 Information and Communication Technology Jayapura on July 25, 2025. The results of the study show that systematic and comprehensive political education is able to increase the understanding of the younger generation about the importance of participation in elections, the right to vote as citizens, as well as the dangers of politicization and irrational mobilization. In conclusion, increasing the political awareness of the younger generation requires synergy between election organizers, the government, and educational institutions to form rational, critical, and actively participating voters in the democratic process."
10.59568/jasic-2025-6-2-06,5G and Beyond: IoT Support in Next-Generation Networks,"The arrival of 5G signals the beginning of a new era of connectivity, one that has the potential to transform many sectors. The promotion of the Internet of Things (IoT), which is a vast network of interconnected devices, is central to this transformation. This article looks at the potential of 5G and its future iterations to facilitate the smooth integration of IoT, addresses the main issues and looks at future developments. It highlights the key characteristics of 5G that make it a perfect platform for the IoT, including Ultra Low Latency (ULT), enhanced Mobile Broadband (eMBB), as well as Massive Machine-to-Machine (mMTC) Communication. The paper further looks at the role of network slicing in customizing network resources to meet the specific needs of various Internet of Things applications. The paper concludes by looking at the possibilities of 6G and other technologies in enhancing the Internet of Things through advanced innovations such as artificial intelligence.","['Ya’u Nuhu', 'Mukhtar Shehu', 'Mohammed Maikolo', 'Mukhtar Musa Zakari']","Ya’u Nuhu, Mukhtar Shehu, Mohammed Maikolo, Mukhtar Musa Zakari",[],,uncategorized,2026-12-29,2026-05-06,https://doi.org/10.59568/jasic-2025-6-2-06,,0,985,"Title: 5G and Beyond: IoT Support in Next-Generation Networks
Authors: Ya’u Nuhu, Mukhtar Shehu, Mohammed Maikolo, Mukhtar Musa Zakari
Published: 2026-12-29
Categories: nan
Summary: The arrival of 5G signals the beginning of a new era of connectivity, one that has the potential to transform many sectors. The promotion of the Internet of Things (IoT), which is a vast network of interconnected devices, is central to this transformation. This article looks at the potential of 5G and its future iterations to facilitate the smooth integration of IoT, addresses the main issues and looks at future developments. It highlights the key characteristics of 5G that make it a perfect platform for the IoT, including Ultra Low Latency (ULT), enhanced Mobile Broadband (eMBB), as well as Massive Machine-to-Machine (mMTC) Communication. The paper further looks at the role of network slicing in customizing network resources to meet the specific needs of various Internet of Things applications. The paper concludes by looking at the possibilities of 6G and other technologies in enhancing the Internet of Things through advanced innovations such as artificial intelligence."
